Category,SubCategory,Brand,Start_Week,Year,Sales,Unit_lift,Revenue,Rev_lift
Hair,Hair Colours,Crest,17-10-2017,2017,63668,-1749,5400,-1567
Hair,Hair Shampoo,Olay,9/8/2016,2016,63733,-1927,3600,-880
Mens,Razors & Blades,GILLETTE,27-06-2017,2017,63756,-1852,5700,-858
Accessories,Hair Combs/Brushes,MARK HILL,26-10-2015,2015,3028,-2126,4300,-13425
Toiletries,Hand Wash,Clairol,3/1/2017,2017,63578,-1756,3900,-1474
Toiletries,Shower Gels,L'oreal,12/7/2016,2016,63596,-652,6300,-982
Toiletries,Shower Gels,Pantene,24-05-2016,2016,63657,-1799,8000,-941
Toiletries,Hand Wash,Clairol,10/1/2017,2017,63545,-574,6600,-1531
Toiletries,Shower Gels,Nivea,25-10-2016,2016,63534,-515,10700,-1004
Hair,Hair Conditioner,Garnier,2/11/2015,2015,57093,-538,284500,84
Hair,Hair Shampoo,Shiseido,19-07-2016,2016,63474,-432,11900,-810
Accessories,Hair Combs/Brushes,SALON PERFORMANCE,2/8/2016,2016,7310,388,13500,-598
Hair,Hair Shampoo,Garnier,2/11/2015,2015,13795,1449,4947300,-11708
Toiletries,Soaps,Clairol,3/10/2017,2017,4659,-723,15200,-399
Hair,Hair Colours,Garnier,7/12/2015,2015,19190,702,396500,509
Toiletries,Soaps,Shiseido,11/10/2016,2016,4669,625,13500,-226
Mens,Hair Styling,SCHWARZKOPF,26-09-2017,2017,4670,-689,15100,196
Toiletries,Soaps,Matrix,28-06-2016,2016,4668,-580,14600,296
Hair,Hair Shampoo,HERBAL ESSENCES,6/12/2016,2016,4670,755,15900,220
Mens,Shower Gels,DOVE,17-01-2017,2017,4674,-708,17000,-245
Hair,Hair Shampoo,Aveda,4/10/2016,2016,8972,600,16500,-529
Hair,Hair Shampoo,Shiseido,10/5/2016,2016,4662,-593,17500,239
Hair,Hair Conditioner,Nivea,10/1/2017,2017,4662,504,18000,-437
Hair,Hair Shampoo,Pantene,7/12/2015,2015,4669,541,16100,-271
Hair,Hair Conditioner,TRESEMME,22-11-2016,2016,7314,-837,15600,40
Accessories,Bathroom Products,ESSENTIALS,21-06-2016,2016,4665,741,17000,-367
Accessories,Hair Combs/Brushes,BABYLISS,1/2/2016,2016,4656,450,19000,248
Toiletries,Soaps,Aveda,19-07-2016,2016,4657,719,17500,224
Mens,Shower Gels,L'OREAL,20-09-2016,2016,4661,-637,19400,346
Accessories,Bathroom Products,ESSENTIALS,13-12-2016,2016,4663,-615,20200,395
Accessories,Hair Combs/Brushes,KENT,5/9/2017,2017,7307,611,19000,58
Mens,Hair Styling,BRYLCREEM,7/12/2015,2015,4676,-577,20500,410
Mens,Hair Styling,SHOCKWAVES,21-06-2016,2016,4681,-558,21500,-298
Hair,Hair Shampoo,TRESEMME,3/1/2017,2017,5546,-1602,22100,-7614
Toiletries,Facial Tissues,L'oreal,15-02-2016,2016,63438,-1859,21200,-1428
Mens,Facial Moisturisers,NIVEA,28-12-2015,2015,4647,-557,23300,350
Toiletries,Facial Tissues,Neutrogena,16-11-2015,2015,63423,-1701,22900,-1353
Toiletries,Soaps,Dove,12/7/2016,2016,4672,574,24400,-249
Hair,Hair Shampoo,Shiseido,1/3/2016,2016,63352,-574,26200,-723
Mens,Anti-Perspirants,NIVEA,2/8/2016,2016,35083,488,28300,221
Hair,Hair Styling,Olay,23-05-2017,2017,63765,-366,30100,-1194
Hair,Hair Shampoo,Neutrogena,15-08-2017,2017,35100,525,31300,-449
Hair,Hair Styling,HERBAL ESSENCES,21-02-2017,2017,8967,587,33000,-578
Accessories,Wash Accessories,BOTANICS,16-08-2016,2016,7305,560,33000,242
Mens,Shower Gels,NIVEA,21-12-2015,2015,22311,-750,33300,-538
Accessories,False Eyelashes,EYLURE,22-08-2017,2017,63416,-418,31700,-759
Mens,Shower Gels,LYNX,4/4/2017,2017,22340,-680,34500,183
Toiletries,Body Sprays,Garnier,14-03-2017,2017,35110,-630,33700,273
